Ano_Mes,Media_Tmax
1961-01,29.116451612903226
1961-02,29.874357142857143
1961-03,28.409935483870967
1961-04,27.397966666666665
1961-05,24.644387096774192
1961-06,22.968700000000002
1961-07,25.813032258064514
1961-08,28.40783870967742
1961-09,29.033333333333335
1961-10,29.083548387096776
1961-11,29.209533333333336
1961-12,29.318548387096776
1962-01,29.296290322580646
1962-02,29.36057142857143
1962-03,29.447870967741935
1962-04,27.5899
1962-05,24.306612903225805
1962-06,22.136733333333332
1962-07,21.943516129032258
1962-08,25.958935483870967
1962-09,26.429333333333332
1962-10,25.11458064516129
1962-11,29.174266666666664
1962-12,29.34793548387097
1963-01,29.898806451612902
1963-02,29.482964285714285
1963-03,30.571677419354838
1963-04,29.557666666666666
1963-05,26.382774193548386
1963-06,23.836533333333332
1963-07,26.34209677419355
1963-08,27.707193548387096
1963-09,31.0353
1963-10,28.152677419354838
1963-11,29.0523
1963-12,29.760387096774192
1964-01,31.341806451612904
1964-02,28.795275862068966
1964-03,29.885935483870966
1964-04,28.994266666666665
1964-05,24.52193548387097
1964-06,21.860833333333336
1964-07,21.44341935483871
1964-08,25.51958064516129
1964-09,27.59893333333333
1964-10,27.26925806451613
1964-11,27.7408
1964-12,27.593870967741935
1965-01,28.418612903225807
1965-02,29.235535714285714
1965-03,27.607225806451613
1965-04,27.025866666666666
1965-05,24.1571935483871
1965-06,23.9016
1965-07,23.176935483870967
1965-08,25.969709677419356
1965-09,28.0008
1965-10,27.472870967741937
1965-11,29.749096774193546
1965-12,28.26676666666667
1966-01,30.347225806451615
1966-02,30.69589285714286
1966-03,29.300967741935484
1966-04,26.892100000000003
1966-05,24.461580645161288
1966-06,24.916166666666665
1966-07,23.925645161290323
1966-08,25.195
1966-09,25.790866666666666
1966-10,27.2406875
1966-11,29.656206896551723
1966-12,30.843645161290322
1967-01,29.032258064516128
1967-02,29.534
1967-03,29.461967741935485
1967-04,29.772199999999998
1967-05,28.54867741935484
1967-06,23.11466666666667
1967-07,24.220354838709678
1967-08,28.407129032258062
1967-09,28.478366666666666
1967-10,29.518
1967-11,28.78941379310345
1967-12,28.36109677419355
1968-01,28.83558064516129
1968-02,29.946793103448275
1968-03,29.44358064516129
1968-04,25.929100000000002
1968-05,23.756516129032256
1968-06,23.625966666666667
1968-07,24.52932258064516
1968-08,24.56722580645161
1968-09,27.632099999999998
1968-10,28.507451612903225
1968-11,31.205133333333333
1968-12,29.90806451612903
1969-01,30.545290322580644
1969-02,31.185035714285714
1969-03,31.35241935483871
1969-04,26.844533333333334
1969-05,25.660677419354837
1969-06,23.921333333333333
1969-07,24.582870967741933
1969-08,26.652935483870966
1969-09,28.6014
1969-10,25.997774193548388
1969-11,28.354300000000002
1969-12,29.200387096774193
1970-01,30.184064516129034
1970-02,29.713214285714287
1970-03,29.54425806451613
1970-04,29.3993
1970-05,26.91183870967742
1970-06,24.610233333333333
1970-07,23.928354838709676
1970-08,25.47983870967742
1970-09,25.886033333333334
1970-10,28.452548387096773
1970-11,28.9527
1970-12,30.96806666666667
1971-01,31.11122580645161
1971-02,31.21782142857143
1971-03,30.54032258064516
1971-04,27.953433333333333
1971-05,24.783322580645162
1971-06,22.3413
1971-07,24.06709677419355
1971-08,26.10141935483871
1971-09,27.615766666666666
1971-10,28.080322580645163
1971-11,29.762566666666665
1971-12,29.112064516129035
1972-01,29.476935483870967
1972-02,28.24137931034483
1972-03,30.87767741935484
1972-04,26.755933333333335
1972-05,26.34161290322581
1972-06,27.2244
1972-07,23.52406451612903
1972-08,23.629677419354838
1972-09,26.132166666666667
1972-10,27.918032258064517
1972-11,28.951
1972-12,30.873612903225805
1973-01,31.003645161290326
1973-02,32.74821428571429
1973-03,30.84
1973-04,30.98213333333333
1973-05,25.14377419354839
1973-06,24.47683333333333
1973-07,23.542709677419353
1973-08,23.838129032258063
1973-09,25.000433333333334
1973-10,26.767419354838708
1973-11,28.910833333333336
1973-12,29.810870967741938
1974-01,29.315612903225805
1974-02,31.41582142857143
1974-03,28.875290322580646
1974-04,27.671933333333335
1974-05,25.356483870967743
1974-06,22.095633333333335
1974-07,25.42764516129032
1974-08,25.331612903225807
1974-09,28.291333333333334
1974-10,26.926806451612904
1974-11,29.386266666666664
1974-12,27.468225806451613
1975-01,30.11390322580645
1975-02,30.49307142857143
1975-03,30.889741935483872
1975-04,28.212
1975-05,24.460322580645162
1975-06,23.97686666666667
1975-07,22.772548387096773
1975-08,28.975161290322582
1975-09,28.709400000000002
1975-10,27.643193548387096
1975-11,28.17733333333333
1975-12,30.08041935483871
1976-01,30.40074193548387
1976-02,29.4568275862069
1976-03,30.375903225806454
1976-04,27.4047
1976-05,24.06358064516129
1976-06,22.6044
1976-07,22.989193548387096
1976-08,24.765032258064515
1976-09,24.034133333333333
1976-10,28.076967741935484
1976-11,30.19863333333333
1976-12,29.728354838709677
1977-01,29.785516129032256
1977-02,33.07271428571429
1977-03,32.595451612903226
1977-04,27.542266666666666
1977-05,26.89916129032258
1977-06,24.195433333333334
1977-07,27.53125806451613
1977-08,27.53258064516129
1977-09,27.60846666666667
1977-10,29.440290322580644
1977-11,28.216600000000003
1977-12,27.866774193548387
1978-01,30.651225806451613
1978-02,32.33221428571429
1978-03,29.940709677419356
1978-04,28.709966666666666
1978-05,24.866032258064514
1978-06,23.690033333333336
1978-07,24.42503225806452
1978-08,23.656
1978-09,25.3207
1978-10,30.152935483870966
1978-11,29.441866666666666
1978-12,29.086806451612905
1979-01,29.382451612903225
1979-02,30.897178571428572
1979-03,29.970193548387098
1979-04,27.0865
1979-05,24.11138709677419
1979-06,24.729166666666668
1979-07,22.20574193548387
1979-08,26.457838709677418
1979-09,24.857433333333333
1979-10,28.982354838709675
1979-11,27.8652
1979-12,28.50516129032258
1980-01,29.141225806451615
1980-02,28.67403448275862
1980-03,30.783
1980-04,27.8972
1980-05,25.444193548387098
1980-06,23.051666666666666
1980-07,24.430548387096774
1980-08,25.269193548387097
1980-09,23.3207
1980-10,29.072451612903226
1980-11,28.9082
1980-12,29.219
1981-01,29.200064516129032
1981-02,30.91464285714286
1981-03,29.972516129032257
1981-04,27.32763333333333
1981-05,26.956967741935486
1981-06,22.361066666666666
1981-07,22.364645161290323
1981-08,26.40883870967742
1981-09,28.854433333333336
1981-10,26.135032258064516
1981-11,29.72123333333333
1981-12,27.272709677419353
1982-01,28.812741935483874
1982-02,29.86782142857143
1982-03,28.50741935483871
1982-04,26.932033333333333
1982-05,24.67590322580645
1982-06,23.081566666666667
1982-07,23.675225806451614
1982-08,24.921709677419354
1982-09,27.279100000000003
1982-10,27.37116129032258
1982-11,28.8603
1982-12,27.427419354838708
1983-01,29.66164516129032
1983-02,30.102678571428573
1983-03,28.42541935483871
1983-04,27.075933333333335
1983-05,24.272774193548386
1983-06,20.189200000000003
1983-07,24.765032258064515
1983-08,26.532967741935487
1983-09,22.866233333333334
1983-10,26.97261290322581
1983-11,28.866466666666668
1983-12,29.31403225806452
1984-01,31.631
1984-02,32.57327586206897
1984-03,29.466
1984-04,26.260766666666665
1984-05,26.586225806451612
1984-06,25.415466666666667
1984-07,25.813225806451616
1984-08,24.352064516129033
1984-09,26.788433333333334
1984-10,30.615967741935485
1984-11,29.230999999999998
1984-12,27.59958064516129
1985-01,29.60641935483871
1985-02,29.98185714285714
1985-03,28.60506451612903
1985-04,26.396666666666665
1985-05,24.558838709677417
1985-06,22.148633333333336
1985-07,22.239548387096775
1985-08,26.517290322580646
1985-09,26.25133333333333
1985-10,29.827645161290324
1985-11,31.036533333333335
1985-12,31.798000000000002
1986-01,30.729645161290325
1986-02,29.849464285714284
1986-03,29.529451612903227
1986-04,29.526266666666668
1986-05,25.863129032258065
1986-06,25.4343
1986-07,24.083451612903225
1986-08,25.451193548387096
1986-09,25.2278
1986-10,28.02925806451613
1986-11,30.473433333333332
1986-12,28.69858064516129
1987-01,30.05641935483871
1987-02,28.221785714285716
1987-03,29.74541935483871
1987-04,28.29446666666667
1987-05,21.858870967741936
1987-06,22.2061
1987-07,25.690290322580644
1987-08,24.751677419354838
1987-09,25.91433333333333
1987-10,27.967741935483872
1987-11,30.209566666666667
1987-12,29.517451612903223
1988-01,31.11106451612903
1988-02,28.229758620689655
1988-03,30.451193548387096
1988-04,27.38116666666667
1988-05,22.761290322580646
1988-06,21.9081
1988-07,22.095870967741934
1988-08,27.54009677419355
1988-09,29.6208
1988-10,28.344838709677422
1988-11,30.17343333333333
1988-12,31.19532258064516
1989-01,27.880870967741934
1989-02,28.548750000000002
1989-03,29.287064516129032
1989-04,28.365633333333335
1989-05,24.376870967741937
1989-06,22.328300000000002
1989-07,22.630032258064514
1989-08,23.65909677419355
1989-09,25.0464
1989-10,27.28745161290323
1989-11,28.770699999999998
