,Ano,Mes,Tmax_conv,Mes_deslocado
0,1961,01,0.7646580645161289,0
1,1961,02,0.7949742857142856,1
2,1961,03,0.7363974193548388,2
3,1961,04,0.6959186666666666,3
4,1961,05,0.5857754838709677,4
5,1961,06,0.518748,5
6,1961,07,0.6325212903225808,6
7,1961,08,0.7363135483870968,7
8,1961,09,0.7613333333333332,8
9,1961,10,0.7633419354838711,9
10,1961,11,0.7683813333333336,10
11,1961,12,0.7727419354838712,11
12,1962,01,0.771851612903226,0
13,1962,02,0.7744228571428573,1
14,1962,03,0.7779148387096773,2
15,1962,04,0.7035960000000001,3
16,1962,05,0.5722645161290323,4
17,1962,06,0.48546933333333314,5
18,1962,07,0.47774064516129033,6
19,1962,08,0.6383574193548387,7
20,1962,09,0.6571733333333332,8
21,1962,10,0.6045832258064516,9
22,1962,11,0.7669706666666667,10
23,1962,12,0.7739174193548388,11
24,1963,01,0.7959522580645162,0
25,1963,02,0.7793185714285715,1
26,1963,03,0.8228670967741938,2
27,1963,04,0.7823066666666665,3
28,1963,05,0.6553109677419354,4
29,1963,06,0.5534613333333331,5
30,1963,07,0.6536838709677419,6
31,1963,08,0.7082877419354838,7
32,1963,09,0.841412,8
33,1963,10,0.7261070967741936,9
34,1963,11,0.762092,10
35,1963,12,0.7904154838709676,11
36,1964,01,0.8536722580645162,0
37,1964,02,0.7518110344827589,1
38,1964,03,0.7954374193548386,2
39,1964,04,0.7597706666666666,3
40,1964,05,0.5808774193548387,4
41,1964,06,0.47443333333333343,5
42,1964,07,0.4577367741935484,6
43,1964,08,0.6207832258064516,7
44,1964,09,0.7039573333333333,8
45,1964,10,0.6907703225806452,9
46,1964,11,0.709632,10
47,1964,12,0.7037548387096773,11
48,1965,01,0.7367445161290322,0
49,1965,02,0.7694214285714287,1
50,1965,03,0.7042890322580646,2
51,1965,04,0.6810346666666667,3
52,1965,05,0.5662877419354839,4
53,1965,06,0.5560639999999999,5
54,1965,07,0.5270774193548386,6
55,1965,08,0.6387883870967743,7
56,1965,09,0.720032,8
57,1965,10,0.6989148387096775,9
58,1965,11,0.7899638709677417,10
59,1965,12,0.7306706666666667,11
60,1966,01,0.8138890322580645,0
61,1966,02,0.8278357142857145,1
62,1966,03,0.7720387096774193,2
63,1966,04,0.6756840000000002,3
64,1966,05,0.5784632258064515,4
65,1966,06,0.5966466666666667,5
66,1966,07,0.5570258064516129,6
67,1966,08,0.6078,7
68,1966,09,0.6316346666666666,8
69,1966,10,0.6896275000000001,9
70,1966,11,0.786248275862069,10
71,1966,12,0.8337458064516128,11
72,1967,01,0.7612903225806451,0
73,1967,02,0.78136,1
74,1967,03,0.7784787096774195,2
75,1967,04,0.790888,3
76,1967,05,0.7419470967741935,4
77,1967,06,0.5245866666666668,5
78,1967,07,0.5688141935483872,6
79,1967,08,0.7362851612903225,7
80,1967,09,0.7391346666666665,8
81,1967,10,0.7807200000000001,9
82,1967,11,0.751576551724138,10
83,1967,12,0.7344438709677419,11
84,1968,01,0.7534232258064517,0
85,1968,02,0.797871724137931,1
86,1968,03,0.7777432258064516,2
87,1968,04,0.637164,3
88,1968,05,0.5502606451612903,4
89,1968,06,0.5450386666666667,5
90,1968,07,0.5811729032258064,6
91,1968,08,0.5826890322580645,7
92,1968,09,0.705284,8
93,1968,10,0.740298064516129,9
94,1968,11,0.8482053333333333,10
95,1968,12,0.7963225806451613,11
96,1969,01,0.8218116129032258,0
97,1969,02,0.8474014285714286,1
98,1969,03,0.8540967741935483,2
99,1969,04,0.6737813333333332,3
100,1969,05,0.6264270967741936,4
101,1969,06,0.5568533333333334,5
102,1969,07,0.5833148387096774,6
103,1969,08,0.6661174193548388,7
104,1969,09,0.744056,8
105,1969,10,0.6399109677419355,9
106,1969,11,0.734172,10
107,1969,12,0.7680154838709679,11
108,1970,01,0.8073625806451614,0
109,1970,02,0.7885285714285715,1
110,1970,03,0.7817703225806452,2
111,1970,04,0.7759720000000001,3
112,1970,05,0.6764735483870967,4
113,1970,06,0.5844093333333333,5
114,1970,07,0.5571341935483872,6
115,1970,08,0.6191935483870968,7
116,1970,09,0.6354413333333333,8
117,1970,10,0.7381019354838709,9
118,1970,11,0.758108,10
119,1970,12,0.8387226666666667,11
120,1971,01,0.8444490322580644,0
121,1971,02,0.8487128571428573,1
122,1971,03,0.8216129032258064,2
123,1971,04,0.7181373333333334,3
124,1971,05,0.5913329032258063,4
125,1971,06,0.49365200000000004,5
126,1971,07,0.5626838709677421,6
127,1971,08,0.6440567741935485,7
128,1971,09,0.7046306666666666,8
129,1971,10,0.7232129032258066,9
130,1971,11,0.7905026666666666,10
131,1971,12,0.7644825806451614,11
132,1972,01,0.7790774193548387,0
133,1972,02,0.7296551724137932,1
134,1972,03,0.8351070967741936,2
135,1972,04,0.6702373333333334,3
136,1972,05,0.6536645161290324,4
137,1972,06,0.688976,5
138,1972,07,0.5409625806451612,6
139,1972,08,0.5451870967741936,7
140,1972,09,0.6452866666666667,8
141,1972,10,0.7167212903225808,9
142,1972,11,0.75804,10
143,1972,12,0.8349445161290323,11
144,1973,01,0.8401458064516132,0
145,1973,02,0.9099285714285716,1
146,1973,03,0.8336000000000001,2
147,1973,04,0.8392853333333332,3
148,1973,05,0.6057509677419355,4
149,1973,06,0.5790733333333333,5
150,1973,07,0.5417083870967743,6
151,1973,08,0.5535251612903225,7
152,1973,09,0.6000173333333334,8
153,1973,10,0.6706967741935483,9
154,1973,11,0.7564333333333335,10
155,1973,12,0.7924348387096776,11
156,1974,01,0.7726245161290322,0
