system:time_start,RS,Tmax,Tmin
"Jan 1, 1961",11.045,22.27,18.529
"Jan 2, 1961",21.751,30.125,19.549
"Jan 3, 1961",25.075,32.121,20.421
"Jan 4, 1961",21.321,31.32,19.491
"Jan 5, 1961",21.507,30.182,20.914
"Jan 6, 1961",11.695,26.028,19.891
"Jan 7, 1961",14.697,26.915,18.659
"Jan 8, 1961",15.416,25.599,18.648
"Jan 9, 1961",18.378,28.414,18.07
"Jan 10, 1961",19.978,31.758,20.637
"Jan 11, 1961",22.879,30.587,19.132
"Jan 12, 1961",28.835,30.649,18.553
"Jan 13, 1961",24.281,29.312,19.316
"Jan 14, 1961",25.266,30.637,21.163
"Jan 15, 1961",22.377,30.162,20.263
"Jan 16, 1961",21.922,30.952,19.729
"Jan 17, 1961",23.117,30.78,20.669
"Jan 18, 1961",17.974,30.025,20.674
"Jan 19, 1961",16.64,31.408,20.06
"Jan 20, 1961",19.963,30.947,20.479
"Jan 21, 1961",19.868,31.586,21.08
"Jan 22, 1961",19.017,30.947,21.258
"Jan 23, 1961",25.098,30.859,20.621
"Jan 24, 1961",27.999,31.467,18.012
"Jan 25, 1961",25.946,30.989,18.323
"Jan 26, 1961",20.314,29.164,18.346
"Jan 27, 1961",11.328,21.502,16.502
"Jan 28, 1961",11.175,18.619,15.529
"Jan 29, 1961",19.128,27.59,15.226
"Jan 30, 1961",23.319,29.508,15.996
"Jan 31, 1961",26.236,30.188,16.359
"Feb 1, 1961",27.518,32.071,18.179
"Feb 2, 1961",24.704,32.316,18.865
"Feb 3, 1961",22.399,32.758,19.394
"Feb 4, 1961",16.796,30.292,19.96
"Feb 5, 1961",16.76,28.128,20.047
"Feb 6, 1961",20.868,30.628,19.454
"Feb 7, 1961",25.614,32.785,19.022
"Feb 8, 1961",20.608,32.961,20.431
"Feb 9, 1961",18.478,31.382,20.403
"Feb 10, 1961",21.086,30.999,20.517
"Feb 11, 1961",16.79,31.912,21.224
"Feb 12, 1961",20.349,31.494,19.68
"Feb 13, 1961",26.889,30.705,19.649
"Feb 14, 1961",25.852,29.683,17.357
"Feb 15, 1961",22.658,28.675,16.862
"Feb 16, 1961",19.33,28.761,17.522
"Feb 17, 1961",18.438,28.368,18.734
"Feb 18, 1961",20.348,30.333,20.63
"Feb 19, 1961",19.735,30.629,19.579
"Feb 20, 1961",21.147,30.621,20.009
"Feb 21, 1961",20.413,30.979,20.236
"Feb 22, 1961",19.073,30.417,21.152
"Feb 23, 1961",11.251,24.614,19.468
"Feb 24, 1961",12.106,26.396,21.073
"Feb 25, 1961",14.573,26.969,20.764
"Feb 26, 1961",13.044,28.08,21.329
"Feb 27, 1961",12.193,28.293,21.258
"Feb 28, 1961",11.677,25.233,19.518
"Mar 1, 1961",12.073,25.774,18.394
"Mar 2, 1961",24.61,28.574,17.333
"Mar 3, 1961",21.793,30.882,15.264
"Mar 4, 1961",19.682,29.079,19.172
"Mar 5, 1961",11.696,27.373,20.494
"Mar 6, 1961",9.463,23.974,18.586
"Mar 7, 1961",9.758,24.063,18.53
"Mar 8, 1961",19.044,27.395,17.569
"Mar 9, 1961",19.802,30.399,17.875
"Mar 10, 1961",21.693,32.032,19.702
"Mar 11, 1961",19.202,32.695,20.826
"Mar 12, 1961",17.772,31.212,20.058
"Mar 13, 1961",16.034,30.652,20.004
"Mar 14, 1961",16.671,30.298,19.388
"Mar 15, 1961",14.379,28.643,21.136
"Mar 16, 1961",17.896,30.248,19.895
"Mar 17, 1961",11.798,27.618,21.129
"Mar 18, 1961",9.533,23.682,18.782
"Mar 19, 1961",8.827,22.471,17.752
"Mar 20, 1961",13.974,25.543,17.938
"Mar 21, 1961",20.296,29.88,16.744
"Mar 22, 1961",20.407,31.087,18.817
"Mar 23, 1961",18.781,30.972,19.257
"Mar 24, 1961",20.003,32.015,19.259
"Mar 25, 1961",21.659,32.262,19.494
"Mar 26, 1961",19.316,32.975,18.562
"Mar 27, 1961",15.061,23.955,17.417
"Mar 28, 1961",17.601,24.555,15.338
"Mar 29, 1961",15.926,25.927,13.342
"Mar 30, 1961",21.184,26.978,12.622
"Mar 31, 1961",20.209,27.495,12.667
"Apr 1, 1961",20.314,29.888,12.331
"Apr 2, 1961",12.461,24.948,16.335
"Apr 3, 1961",9.17,22.572,17.648
"Apr 4, 1961",12.64,27.596,17.687
"Apr 5, 1961",10.243,20.406,17.12
"Apr 6, 1961",14.042,25.979,16.969
"Apr 7, 1961",16.349,25.539,15.758
"Apr 8, 1961",20.303,29.959,16.738
"Apr 9, 1961",19.277,30.943,17.741
"Apr 10, 1961",18.74,30.012,17.906
"Apr 11, 1961",18.894,31.204,17.004
"Apr 12, 1961",15.774,31.322,19.129
