system:time_start,RS,Tmax,Tmin
"Jan 1, 1971",19.182,31.229,19.26
"Jan 2, 1971",11.423,24.309,19.74
"Jan 3, 1971",12.362,24.343,16.954
"Jan 4, 1971",24.253,30.694,17.09
"Jan 5, 1971",13.32,26.89,18.54
"Jan 6, 1971",13.508,25.051,19.335
"Jan 7, 1971",15.192,27.913,20.229
"Jan 8, 1971",22.062,29.289,19.348
"Jan 9, 1971",20.768,29.918,20.663
"Jan 10, 1971",16.898,30.486,19.908
"Jan 11, 1971",12.922,27.11,20.232
"Jan 12, 1971",20.873,32.622,20.225
"Jan 13, 1971",21.527,31.446,18.641
"Jan 14, 1971",19.054,28.261,17.234
"Jan 15, 1971",28.689,29.741,18.381
"Jan 16, 1971",28.556,30.575,17.932
"Jan 17, 1971",26.166,30.072,17.182
"Jan 18, 1971",27.085,32.718,17.228
"Jan 19, 1971",23.47,32.834,19.964
"Jan 20, 1971",19.449,32.735,20.848
"Jan 21, 1971",20.521,33.604,20.598
"Jan 22, 1971",20.337,31.875,20.743
"Jan 23, 1971",28.746,34.064,22.322
"Jan 24, 1971",25.415,34.694,19.87
"Jan 25, 1971",27.308,35.112,22.403
"Jan 26, 1971",28.786,36.272,22.263
"Jan 27, 1971",26.966,36.946,20.332
"Jan 28, 1971",24.879,36.086,21.478
"Jan 29, 1971",24.846,33.648,19.727
"Jan 30, 1971",21.319,31.891,19.318
"Jan 31, 1971",18.765,32.02,20.02
"Feb 1, 1971",19.865,32.321,19.928
"Feb 2, 1971",20.073,30.826,19.855
"Feb 3, 1971",22.979,34.236,19.809
"Feb 4, 1971",25.358,36.432,20.408
"Feb 5, 1971",26.697,37.178,21.47
"Feb 6, 1971",19.193,35.522,22.302
"Feb 7, 1971",26.666,31.81,19.912
"Feb 8, 1971",24.076,30.901,20.402
"Feb 9, 1971",14.099,26.27,18.906
"Feb 10, 1971",19.076,29.759,19.471
"Feb 11, 1971",17.411,28.085,19.865
"Feb 12, 1971",16.132,28.777,20.766
"Feb 13, 1971",24.266,31.38,19.772
"Feb 14, 1971",21.864,30.896,18.611
"Feb 15, 1971",24.778,33.44,20.331
"Feb 16, 1971",27.709,32.777,18.985
"Feb 17, 1971",27.291,34.181,19.121
"Feb 18, 1971",25.361,34.399,21.442
"Feb 19, 1971",19.415,32.575,20.996
"Feb 20, 1971",23.337,32.697,19.507
"Feb 21, 1971",17.343,30,19.807
"Feb 22, 1971",19.284,28.718,20.204
"Feb 23, 1971",21.122,31.743,19.901
"Feb 24, 1971",18.418,31.92,19.894
"Feb 25, 1971",12.267,28.054,19.459
"Feb 26, 1971",16.716,25.838,16.569
"Feb 27, 1971",17.799,27.26,16.996
"Feb 28, 1971",17.613,26.104,17.787
"Mar 1, 1971",23.892,30.575,17.197
"Mar 2, 1971",24.018,31.225,16.86
"Mar 3, 1971",20.393,31.434,18.913
"Mar 4, 1971",10.323,25.75,19.111
"Mar 5, 1971",11.059,23.369,18.792
"Mar 6, 1971",17.913,28.216,18.384
"Mar 7, 1971",22.49,30.172,17.702
"Mar 8, 1971",23.413,32.278,18.513
"Mar 9, 1971",24.44,31.911,18.03
"Mar 10, 1971",14.35,29.679,21.103
"Mar 11, 1971",15.375,28.945,19.747
"Mar 12, 1971",18.094,30.647,19.552
