system:time_start,RS,Tmax,Tmin
"Jan 1, 2001",25.387,31.736,19.869
"Jan 2, 2001",27.776,32.325,19.087
"Jan 3, 2001",28.569,32.732,20.254
"Jan 4, 2001",28.695,32.365,18.674
"Jan 5, 2001",22.746,31.152,20.328
"Jan 6, 2001",23.163,33.617,20.445
"Jan 7, 2001",26.242,33.725,19.164
"Jan 8, 2001",23.839,33.1,21.801
"Jan 9, 2001",22.807,31.627,20.546
"Jan 10, 2001",18.317,30.715,20.931
"Jan 11, 2001",10.525,24.134,19.536
"Jan 12, 2001",10.791,24.65,18.783
"Jan 13, 2001",13.072,27.651,18.911
"Jan 14, 2001",21.969,30.676,18.123
"Jan 15, 2001",24.041,31.525,20.238
"Jan 16, 2001",24.093,32.305,19.989
"Jan 17, 2001",27.21,33.73,20.449
"Jan 18, 2001",25.863,34.273,22.201
"Jan 19, 2001",20.88,33.779,23.086
"Jan 20, 2001",17.895,30.851,20.43
"Jan 21, 2001",21.807,31.637,20.267
"Jan 22, 2001",22.181,31.096,20.432
"Jan 23, 2001",18.643,30.934,20.916
"Jan 24, 2001",19.548,31.132,21.53
"Jan 25, 2001",21.506,31.974,20.997
"Jan 26, 2001",16.893,30.427,21.778
"Jan 27, 2001",22.118,31.188,22.025
"Jan 28, 2001",22.902,32.946,21.848
"Jan 29, 2001",15.56,30.908,21.559
"Jan 30, 2001",23.183,32.949,20.587
"Jan 31, 2001",18.41,32.9,21.727
"Feb 1, 2001",19.41,29.399,20.971
"Feb 2, 2001",17.919,31.662,21.872
"Feb 3, 2001",14.647,32.615,22.532
"Feb 4, 2001",20.109,31.97,21.108
"Feb 5, 2001",15.633,30.843,21.974
"Feb 6, 2001",12.57,27.811,19.892
"Feb 7, 2001",16.815,29.464,20.235
"Feb 8, 2001",26.21,33.626,21.44
"Feb 9, 2001",18.536,30.193,22.032
"Feb 10, 2001",17.718,30.243,19.634
"Feb 11, 2001",21.567,30.65,20.2
"Feb 12, 2001",18.375,30.941,21.144
